"Time","Vhcl.Steer.Ang"
"F1","F1"
"s","rad"
0,0
0.5,0.01951238327
1,0.08827974647
1.5,0.01375232544
2,-0.005334935617
2.5,-0.002362608677
3,0.005872289184
3.5,0.01516813878
4,0.01965350844
4.5,0.01985150576
5,0.02167431079
5.5,0.0205882024
6,0.01720102318
6.5,0.01678911783
7,0.01488116477
7.5,0.01293552853
8,0.01249699853
8.5,0.0143559929
9,0.0157549642
9.5,0.01653360017
10,0.01871749386
10.5,0.01951249875
11,0.018257007
11.5,0.0186516121
12,0.02039928176
12.5,0.02121720649
13,0.02102582715
13.5,0.01949733123
14,0.01817211322
14.5,0.02071576007
15,0.02085140347
15.5,0.02004031464
16,0.0193223618
16.5,0.01770429313
17,0.01557024568
17.5,0.01212840062
18,0.007217830047
18.5,0.002262565074
19,-0.003209546674
19.5,-0.008483131416
20,-0.01444430556
20.5,-0.0225604102
21,-0.0319459103
21.5,-0.03959068283
22,-0.04672848061
22.5,-0.05589551106
23,-0.06272770464
23.5,-0.06748428941
24,-0.07160683721
24.5,-0.07462871075
25,-0.07796827704
25.5,-0.08151129633
26,-0.08311274648
26.5,-0.08309741318
27,-0.08481058478
27.5,-0.08451251686
28,-0.08267340064
28.5,-0.08045319468
29,-0.07934068888
29.5,-0.07486972958
30,-0.07044631988
30.5,-0.07176663727
31,-0.07474644482
31.5,-0.07579258829
32,-0.07749973983
32.5,-0.07868845761
33,-0.0775283277
33.5,-0.0753133148
34,-0.07627478242
34.5,-0.0753153041
35,-0.07553306222
35.5,-0.07530363649
36,-0.07409382612
36.5,-0.07357183844
37,-0.07645444572
37.5,-0.07777361572
38,-0.07815683633
38.5,-0.07616951317
39,-0.07903895527
39.5,-0.07886106521
40,-0.07797977328
40.5,-0.07781842351
41,-0.08162527531
41.5,-0.08170909435
42,-0.08144575357
42.5,-0.08265693486
43,-0.08254227787
43.5,-0.08280771226
44,-0.08551401645
44.5,-0.08512845635
45,-0.08554276824
45.5,-0.08621835709
46,-0.08764979988
46.5,-0.0871880278
47,-0.08846828341
47.5,-0.09139514714
48,-0.09208792448
48.5,-0.09155944735
49,-0.09203138947
